# cell_data_id, row_data_id, sheet_config_id, Submission Date, Submitted By, ExperimentID, SiteID, StrainID, SourceID, BatchID, DATETIME, Sample Time, Hours After Innoc _Batch_, Days After Innoc _Batch_, Experiment Duration _Days_, PondID, Depth _cm_, pH _manual_, Salinity _manual_, Temp _manual_, NO3 -N mg_L _1_, NO3 -N mg_L _2_, NO3 -N mg_L _3_, NO3 -N mg_L Avg, NO3 -N mg_L Stdev, NO3 -N mg_L RSD, PO4 mg P_L dup1, PO4 mg P_L dup2, PO4 - P mg _L dup3, PO4 - P mg_L Avg, PO4 mg P_L Stdev, PO4 mg P_L RSD, N_P, Analytical Sample Pulled _1 - yes_ blank-no_, Volume Pulled for Analytical Sample _L_, Analytical Sample ID, Freeze Dried Biomass for Analytical _g_, TrackingID, filter ID dup 1, filter ID dup 2, filter ID dup 3, mL filtered dup 1, mL filtered dup 2, mL filtered dup 3, filter _g_ dup 1, filter _g_ dup 2, filter _g_ dup 3, filter + biomass _g_ dup 1, filter + biomass _g_ dup 2, filter + biomass _g_ dup 3, filter + ash _g_ dup 1, filter + ash _g_ dup 2, filter + ash _g_ dup 3, biomass _g_ dup 1, biomass _g_ dup 2, biomass _g_ dup 3, ash _g_ dup 1, ash _g_ dup 2, ash _g_ dup 3, dw _g_L_ dup 1, dw _g_L_ dup 2, dw _g_L_ dup 3, Average DW _g_L_, STDEV DW, RSD DW, afdw _g_L_ dup 1, afdw _g_L_ dup 2, afdw _g_L_ dup 3, Average AFDW _g_L_, STDEV AFDW, RSD AFDW, %ASH dup 1, %ASH dup 2, %ASH dup 3, %ASH, initials, Optical Density Dilution Multiplication Factor, OD750 dup 1, OD750 dup 2, OD750 dup 3, Average OD750, OD750 %RSD, lnOD, OD750 Initials
9771, 153638, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 07:40:00, 1899-12-31 07:40:00, 356.166666666744, 14.840277777781, 14.840277777781, Pond 5, 23.9, 7.76, 33.9, 14.5, 48.6602019394554, 49.1163174537959, 49.268355958576, 49.0149584506091, 0.316493386010531, 0.00645707751296887, 2.25, 2.61, 2.49, 2.453708521, 0.183039188, 0.07, , 0, 0, , , , 10.0, 9.0, 4.0, 40, 40, 40, 0.11238, 0.11294, 0.11225, 0.12285, 0.12309, 0.1225, 0.11321, 0.11363, 0.11297, 0.01047, 0.01015, 0.01025, 0.000830000000000011, 0.000689999999999996, 0.000719999999999998, 0.26175, 0.25375, 0.25625, 0.25725, 0.00409267638593624, 1.59093348335714, 0.241, 0.2365, 0.23825, 0.238583333333333, 0.0022684429314692, 0.950796897577031, 7.92741165234012, 6.79802955665021, 7.02439024390243, 7.24994381763092, , 4, 0.347, 0.342, 0.348, 1.38266666666667, 0.232489169744283, 0.324014001699171, ED
9772, 153639, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond1, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 1, 25.2, 7.83, 42.1, 17.3, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.271, 0.27, 0.271, 0.270666666666667, 0.213306749700601, -1.30686722748857, EN
9773, 153640, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 07:40:00, 1899-12-31 07:40:00, 356.166666666744, 14.840277777781, 14.840277777781, Pond 6, 24.2, 7.5, 37, 14.6, 47.9760286679446, 49.4203944633562, 50.5606832492074, 49.3190354601694, 1.2953050072303, 0.026263794397934, 2.73, 2.79, 2.69, 2.737743547, 0.046757729, 0.02, , 0, 0, , , , 12.0, 11.0, 13.0, 40, 40, 40, 0.11243, 0.11298, 0.11394, 0.12244, 0.12296, 0.12393, 0.11306, 0.11352, 0.11447, 0.01001, 0.00998, 0.00999, 0.000629999999999992, 0.000539999999999999, 0.000530000000000003, 0.25025, 0.2495, 0.24975, 0.249833333333333, 0.00038188130791283, 0.152854426115876, 0.2345, 0.236, 0.2365, 0.235666666666667, 0.00104083299973305, 0.441654738217702, 6.29370629370622, 5.41082164328656, 5.30530530530533, 5.66994441409937, , 4, 0.343, 0.341, 0.343, 1.36933333333333, 0.084325745256518, 0.314324003398202, ED
9774, 153641, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond2, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 2, 24.8, 7.85, 37.4, 17.5, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.291, 0.292, 0.292, 0.291666666666667, 0.197948663722158, -1.23214368129263, EN
9775, 153642, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 08:30:00, 1899-12-31 08:30:00, 357, 14.875, 14.875, Pond 3, 25.1, , 32.6, , 65.8484333894173, 61.1352397412323, 63.4158173129347, 63.4664968145281, 2.35700549431565, 0.0371377910018206, 3.98, 3.89, 3.87, 3.913826074, 0.062920179, 0.02, , 0, 0, , , , 14.0, 15.0, 16.0, 75, 75, 75, 0.11409, 0.11389, 0.1142, 0.12368, 0.12361, 0.12373, 0.11503, 0.11476, 0.11493, 0.00959, 0.00971999999999999, 0.00953000000000001, 0.000939999999999996, 0.000869999999999996, 0.000730000000000008, 0.127866666666667, 0.1296, 0.127066666666667, 0.128177777777778, 0.0012950046474962, 1.01031915980113, 0.115333333333333, 0.118, 0.117333333333333, 0.116888888888889, 0.00138777733297737, 1.18726197688178, 9.80187695516159, 8.95061728395058, 7.66002098635895, 8.80417174182371, , 2, 0.319, 0.322, 0.318, 0.639333333333333, 0.325599478540063, -0.447329312206863, ED
9776, 153643, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond3, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 3, 25, 6.4, 40.8, 17.1, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.26, 0.262, 0.261, 0.261, 0.383141762452108, -1.34323487165944, EN
9777, 153644, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 08:30:00, 1899-12-31 08:30:00, 357, 14.875, 14.875, Pond 4, 25, , 34.5, , 70.7136655423825, 75.1227821810072, 78.1635522766104, 74.6666666666667, 3.74582889492071, 0.0501673512712595, 5.22, 5.13, 5.16, 5.169793453, 0.048004821, 0.01, , 0, 0, , , , 18.0, 19.0, 20.0, 80, 80, 80, 0.11382, 0.11358, 0.11341, 0.12341, 0.12363, 0.12278, 0.11483, 0.11504, 0.11433, 0.00959, 0.01005, 0.00937, 0.00101, 0.00146, 0.000920000000000004, 0.119875, 0.125625, 0.117125, 0.120875, 0.00433733789322438, 3.58828367588366, 0.10725, 0.107375, 0.105625, 0.10675, 0.000976281209488351, 0.914549142377847, 10.5318039624609, 14.5273631840796, 9.81856990394881, 11.6259123501631, , 2, 0.3, 0.304, 0.299, 0.602, 0.439493573266544, -0.507497833673316, ED
9778, 153645, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond4, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 4, 24.8, 8.26, 38.2, 17.2, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.307, 0.307, 0.309, 0.307666666666667, 0.37530895071915, -1.17873833314739, EN
9779, 153646, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 08:30:00, 1899-12-31 08:30:00, 357, 14.875, 14.875, Pond 5, 24.9, , 32.6, , 62.6556247890339, 69.9534730184817, 70.5616270376023, 67.7235749483726, 4.39949450970212, 0.0649625261669362, 3.81, 3.94, 4.09, 3.949330452, 0.139851313, 0.04, , 0, 0, , , , 21.0, 22.0, 23.0, 85, 85, 85, 0.11427, 0.11334, 0.11385, 0.12388, 0.12296, 0.12362, 0.11503, 0.11421, 0.1147, 0.00961000000000001, 0.00962, 0.00976999999999999, 0.000759999999999997, 0.00087000000000001, 0.00084999999999999, 0.113058823529412, 0.113176470588235, 0.114941176470588, 0.113725490196078, 0.00105445722821547, 0.927195148948082, 0.104117647058824, 0.102941176470588, 0.104941176470588, 0.104, 0.00100517691121386, 0.966516260782557, 7.90842872008321, 9.04365904365914, 8.70010235414525, 8.55073003929587, , 2, 0.29, 0.296, 0.292, 0.585333333333333, 0.521933450450552, -0.535573793455185, ED
9780, 153647, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond5, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 5, 24.9, 8.18, 40.4, 17.3, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.296, 0.294, 0.296, 0.295333333333333, 0.390982123604713, -1.21965061704517, EN
9781, 153648, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-01 08:30:00, 1899-12-31 08:30:00, 357, 14.875, 14.875, Pond 6, 25, , 34.3, , 64.7841638559562, 68.8892034850205, 73.2983201236452, 68.9905624882073, 4.25798302877107, 0.0617183405266321, 4.2, 4.24, 4.25, 4.228927431, 0.027715596, 0.01, , 0, 0, , , , 24.0, 25.0, 26.0, 75, 75, 75, 0.11411, 0.11211, 0.11398, 0.12468, 0.12157, 0.1234, 0.11589, 0.11292, 0.11494, 0.01057, 0.00946, 0.00942, 0.00178, 0.000810000000000005, 0.000960000000000002, 0.140933333333333, 0.126133333333333, 0.1256, 0.130888888888889, 0.00870283053145695, 6.64902162844758, 0.1172, 0.115333333333333, 0.1128, 0.115111111111111, 0.00220840146645417, 1.91849548244088, 16.8401135288553, 8.5623678646935, 10.1910828025478, 11.8645213986989, , 2, 0.326, 0.327, 0.323, 0.650666666666667, 0.319928176147459, -0.429757800677209, ED
9782, 153649, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09182014_Pond6, 2014-09-18 07:50:00, 1899-12-31 07:50:00, 44.3333333334303, 1.84722222222626, 1.84722222222626, Pond 6, 24.9, 7.88, 38.5, 17.3, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.28, 0.283, 0.283, 0.282, 0.614202414031506, -1.26584820804402, EN
9783, 153650, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 1, 25, 7.7, 36.9, 14.5, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.517, 0.516, 0.515, 1.032, 0.0968992248062016, 0.031498667059371, 
9784, 153651, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09192014_Pond1, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 1, 24.9, 7.8, 42.9, 17.5, 62.8410961704407, 46.9850732236339, 55.1178672812212, 54.9813455584319, 7.92889302223283, 0.144210603463794, 5.85048666539748, 5.66770713916614, 6.21604571786015, 5.91141317414126, 0.279200338147755, 0.0472307263801288, , 0, 0, , , , 1.0, 2.0, 3.0, 100, 100, 100, 0.11362, 0.11543, 0.11363, 0.12303, 0.1251, 0.1229, 0.11456, 0.11642, 0.11453, 0.00941, 0.00966999999999998, 0.00927, 0.000939999999999996, 0.000989999999999991, 0.000900000000000012, 0.0941, 0.0966999999999998, 0.0927, 0.0945, 0.00202977831301835, 2.14791355874958, 0.0847000000000001, 0.0867999999999999, 0.0836999999999999, 0.0850666666666666, 0.00158219257150745, 1.85994424550249, 9.98937300743886, 10.2378490175801, 9.7087378640778, 9.97865329636557, , 1, 0.405, 0.408, 0.407, 0.406666666666667, 0.375620958602931, -0.899761429922945, EN
9785, 153652, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 2, 25, 7.9, 41.6, 14.5, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.519, 0.523, 0.521, 1.042, 0.191938579654511, 0.0411419433311752, 
9786, 153653, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_0919014_Pond2, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 2, 25, 7.82, 38.1, 17.9, 74.8355046726378, 58.5114072476965, 51.080724907311, 61.4758789425484, 12.1516854693898, 0.197665908619966, 6.03326619162882, 6.0051462645163, 6.21604571786015, 6.08481939133509, 0.114511764265292, 0.018819254426575, , 0, 0, , , , 4.0, 5.0, 6.0, 90, 90, 90, 0.11356, 0.1137, 0.113, 0.1226, 0.12292, 0.12227, 0.11444, 0.11469, 0.11404, 0.00904000000000001, 0.00922000000000001, 0.00927, 0.000880000000000006, 0.000990000000000005, 0.00104, 0.100444444444445, 0.102444444444445, 0.103, 0.101962962962963, 0.00134409239345361, 1.3182162957954, 0.0906666666666667, 0.0914444444444445, 0.0914444444444445, 0.0911851851851852, 0.000449050209369718, 0.492459612225117, 9.73451327433634, 10.7375271149675, 11.2189859762675, 10.5636754551905, , 1, 0.44, 0.439, 0.44, 0.439666666666667, 0.131315451673152, -0.821738414932932, EN
9787, 153654, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 3, 25.5, 7.84, 32.6, 14.6, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.417, 0.42, 0.42, 0.838, 0.206688640521346, -0.176737178500054, 
9788, 153655, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09192014_Pond3, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 3, 24.9, 6.33, 41.4, 17.8, 42.3043284422887, 58.979481725831, 52.3679297221809, 51.2172466301002, 8.39691835980369, 0.16394708642672, 6.24416564497267, 7.00340367701052, 6.07544608229759, 6.44100513476026, 0.494303209529571, 0.0767431789274563, , 0, 0, , , , 7.0, 8.0, 9.0, 90, 90, 90, 0.11387, 0.11441, 0.11311, 0.12231, 0.1227, 0.12142, 0.11491, 0.11536, 0.11402, 0.00844, 0.00829000000000001, 0.00831, 0.00104, 0.000950000000000006, 0.000909999999999994, 0.0937777777777778, 0.0921111111111112, 0.0923333333333333, 0.0927407407407408, 0.000904947535027462, 0.975782086491273, 0.0822222222222223, 0.0815555555555555, 0.0822222222222223, 0.082, 0.000384900179459772, 0.46939046275582, 12.3222748815166, 11.4595898673101, 10.9506618531889, 11.5775088673385, , 1, 0.401, 0.399, 0.398, 0.399333333333333, 0.38251883931184, -0.917958788974852, EN
9789, 153656, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 4, 25, 8.01, 35.7, 14.3, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.397, 0.397, 0.397, 0.794, 0, -0.230671817735001, 
9790, 153657, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09192014_Pond4, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 4, 24.9, 8.09, 39, 17.7, 23.9909144852756, 65.2399778708802, 59.6815934430327, 49.6374952663962, 22.383794108324, 0.450945278124811, 3.92427165819032, 3.3478131523838, 3.27751333460252, 3.51653271505888, 0.354857436732669, 0.100911171738303, , 0, 0, , , , 10.0, 11.0, 12.0, 90, 90, 90, 0.1146, 0.11343, 0.1145, 0.12366, 0.12269, 0.12598, 0.11602, 0.11493, 0.11786, 0.00906000000000001, 0.00925999999999999, 0.01148, 0.00142, 0.0015, 0.00336, 0.100666666666667, 0.102888888888889, 0.127555555555556, 0.11037037037037, 0.0149242256177016, 13.5219493851659, 0.084888888888889, 0.0862222222222221, 0.0902222222222223, 0.0871111111111111, 0.00277555466595484, 3.18622346857061, 15.673289183223, 16.1987041036717, 29.2682926829268, 20.3800953232739, , 1, 0.445, 0.443, 0.443, 0.443666666666667, 0.260263081528006, -0.812681749255135, EN
9791, 153658, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 5, 24.5, 7.91, 32.5, 14.7, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.376, 0.377, 0.38, 0.755333333333333, 0.275595675127908, -0.280596126062295, 
9792, 153659, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09192014_Pond5, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 5, 24.9, 7.89, 41.1, 17.8, 45.4053218599299, 34.6981181726028, 120.238729051686, 66.780723028073, 46.6045047041161, 0.697873616680142, 4.66944972667192, 4.57102998177813, 4.5147901275531, 4.58508994533438, 0.0782825640312143, 0.0170732886300021, , 0, 0, , , , 13.0, 14.0, 15.0, 90, 90, 90, 0.11362, 0.11418, 0.11559, 0.1229, 0.12344, 0.12465, 0.11507, 0.11563, 0.11689, 0.00928, 0.00925999999999999, 0.00906, 0.00145000000000001, 0.00144999999999999, 0.0013, 0.103111111111111, 0.102888888888889, 0.100666666666667, 0.102222222222222, 0.0013517250067329, 1.32233968049958, 0.0869999999999999, 0.0867777777777778, 0.0862222222222223, 0.0866666666666666, 0.000400616808384824, 0.462250163520951, 15.6250000000001, 15.6587473002159, 14.3487858719646, 15.2108443907269, , 1, 0.441, 0.439, 0.44, 0.44, 0.227272727272727, -0.82098055206983, EN
9793, 153660, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-02 07:30:00, 1899-12-31 07:30:00, 380.000000000058, 15.8333333333358, 15.8333333333358, Pond 6, 24.5, 7.77, 34.2, 14.4, , , , , , , , , , , , , , 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 0.41, 0.413, 0.413, 0.824, 0.210200340724379, -0.193584749072665, 
9794, 153661, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09192014_Pond6, 2014-09-19 07:30:00, 1899-12-31 07:30:00, 68.0000000000582, 2.83333333333576, 2.83333333333576, Pond 6, 24.9, 6.99, 39.2, 17.8, 56.1710348570239, 57.5752582914274, 34.2885530042351, 49.3449487175621, 13.0581104977195, 0.264629122880657, 5.93484644673502, 6.426945171204, 6.07544608229759, 6.14574590007887, 0.253469597666192, 0.0412430975486538, , 0, 0, , , , 16.0, 17.0, 18.0, 90, 90, 90, 0.11442, 0.11516, 0.11422, 0.12304, 0.12391, 0.1229, 0.1152, 0.11617, 0.11516, 0.00862, 0.00875000000000001, 0.00867999999999999, 0.000780000000000003, 0.00101, 0.000939999999999996, 0.0957777777777778, 0.0972222222222223, 0.0964444444444444, 0.0964814814814815, 0.000722934122071998, 0.749298322301111, 0.0871111111111111, 0.0860000000000001, 0.086, 0.0863703703703704, 0.000641500299099548, 0.742731907190729, 9.04872389791186, 11.5428571428571, 10.8294930875576, 10.4736913761088, , 1, 0.432, 0.432, 0.432, 0.432, 0, -0.839329690738027, ED
9795, 153662, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-03 07:30:00, 1899-12-31 07:30:00, 404.000000000058, 16.8333333333358, 16.8333333333358, Pond 1, 24.3, 7.58, 36.9, 13.8, 36.1027880834062, 33.8439302981009, 33.7136115797179, 34.5534433204083, 1.34335313230061, 0.038877547451463, 1.32037110848603, 1.33338466472079, 1.25530332731223, 1.30301970017301, 0.0418327304955231, 0.0321044497561845, , 0, 0, , , , 3.0, 12.0, 2.0, 45, 45, 45, 0.1142, 0.11328, 0.11275, 0.12522, 0.12404, 0.11978, 0.11499, 0.11394, 0.11363, 0.01102, 0.01076, 0.00702999999999999, 0.000789999999999999, 0.000659999999999994, 0.000879999999999992, 0.244888888888889, 0.239111111111111, 0.156222222222222, 0.213407407407407, 0.0496080107695347, 23.2456836302922, 0.227333333333333, 0.224444444444444, 0.136666666666667, 0.196148148148148, 0.0515327216356457, 26.272346755333, 7.1687840290381, 6.13382899628248, 12.5177809388335, 8.60679798805135, , 3, 0.42, 0.406, 0.411, 1.237, 0.573532650331251, 0.212689093410351, ED
9796, 153663, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_09222014_Pond1, 2014-09-22 07:30:00, 1899-12-31 07:30:00, 140.000000000058, 5.83333333333576, 5.83333333333576, Pond 1, 24, 7.99, 41.3, 16.5, 42.59162922131, 51.8169395917454, , 47.2042844065277, 6.52327952148551, 0.138192530688664, 4.2347467901887, 4.17987125522015, 4.30334120889939, 4.23931975143608, 0.0618618731232393, 0.0145924055627753, , 0, 0, , , , 8.0, 11.0, 24.0, 70, 60, 60, 0.11541, 0.1148, 0.11595, 0.12791, 0.12548, 0.12644, 0.11618, 0.11534, 0.11655, 0.0125, 0.01068, 0.01049, 0.000770000000000007, 0.000539999999999999, 0.000600000000000003, 0.178571428571429, 0.178, 0.174833333333333, 0.177134920634921, 0.00201360639976692, 1.13676422048762, 0.167571428571428, 0.169, 0.164833333333333, 0.167134920634921, 0.002117352630469, 1.26685232650693, 6.16000000000006, 5.05617977528088, 5.71973307912301, 5.64530428480131, , 1, 0.768, 0.766, 0.772, 0.768666666666667, 0.397448022112389, -0.263097866821242, ED
9797, 153664, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-03 07:30:00, 1899-12-31 07:30:00, 404.000000000058, 16.8333333333358, 16.8333333333358, Pond 2, 24.3, 7.95, 40.1, 14.1, 35.6683923554629, 33.3226554245689, 38.0141292863568, 35.6683923554629, 2.34573693089392, 0.0657651431978447, 1.35941177719031, 1.33338466472079, 1.33338466472079, 1.3420603688773, 0.0150267603905063, 0.011196784242334, , 0, 0, , , , 8.0, 1.0, 14.0, 45, 45, 45, 0.11337, 0.11332, 0.11266, 0.12445, 0.12433, 0.12359, 0.11413, 0.11404, 0.11339, 0.01108, 0.01101, 0.01093, 0.000759999999999997, 0.000719999999999998, 0.000730000000000008, 0.246222222222222, 0.244666666666667, 0.242888888888889, 0.244592592592593, 0.00166790077765888, 0.681909766759384, 0.229333333333334, 0.228666666666667, 0.226666666666667, 0.228222222222222, 0.00138777733297748, 0.608081596728203, 6.85920577617325, 6.53950953678473, 6.67886550777683, 6.69252694024494, , 3, 0.418, 0.414, 0.415, 1.247, 0.166933921368575, 0.220740666697899, ED
9798, 153665, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, KA32_0922014_Pond2, 2014-09-22 07:30:00, 1899-12-31 07:30:00, 140.000000000058, 5.83333333333576, 5.83333333333576, Pond 2, 23.8, 7.99, 36.3, 16.8, 44.4708591115839, 43.7875027878479, 42.762468302244, 43.6736100672252, 0.859871184083628, 0.0196885758415679, 3.75458585921389, 3.86433692915099, 3.72714809172962, 3.78202362669817, 0.0725935092942178, 0.0191943563709554, , 0, 0, , , , 20.0, 23.0, 10.0, 60, 60, 50, 0.11486, 0.11511, 0.11477, 0.12618, 0.12719, 0.12462, 0.11545, 0.11616, 0.11548, 0.01132, 0.01208, 0.00985, 0.000589999999999993, 0.00105, 0.000710000000000002, 0.188666666666666, 0.201333333333333, 0.197, 0.195666666666667, 0.00643773597194276, 3.29015467049886, 0.178833333333333, 0.183833333333333, 0.1828, 0.181822222222222, 0.00263951454571429, 1.45170074012641, 5.21201413427557, 8.69205298013241, 7.20812182741119, 7.03739631393973, , 2, 0.455, 0.457, 0.448, 0.906666666666667, 0.521229664660215, -0.0979804083602037, ED
9799, 153666, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSFall2014, CalPoly, KA32, ASU_09052014, , 2014-10-03 07:30:00, 1899-12-31 07:30:00, 404.000000000058, 16.8333333333358, 16.8333333333358, Pond 3, 24.5, 7.63, 32.5, 13.8, 58.618724002556, 59.3789165264568, 59.9870705455774, 59.3282370248634, 0.685579590099505, 0.0115557047449799, 2.32241493856256, 2.41350983220588, 2.32241493856256, 2.35277990311033, 0.0525936613667718, 0.0223538382392862, , 0, 0, , , , 15.0, 4.0, 16.0, 30, 35, 35, 0.11353, 0.11346, 0.11317, 0.12007, 0.1207, 0.12044, 0.1141, 0.11378, 0.1136, 0.00653999999999999, 0.00724, 0.00727, 0.000569999999999987, 0.000320000000000001, 0.00043, 0.218, 0.206857142857143, 0.207714285714286, 0.210857142857143, 0.00620072411834578, 2.94072282035369, 0.199, 0.197714285714286, 0.195428571428571, 0.197380952380952, 0.00180889713459267, 0.91644969424478, 8.71559633027505, 4.41988950276244, 5.91471801925722, 6.3500679507649, , 3, 0.371, 0.375, 0.385, 1.131, 0.637586432442793, 0.123102197133983, ED
